0,0.0,0.0,0.0
200,0.87,0.34114,-0.35599
200,0.86203,-0.39965,0.31174
200,0.8862,0.32428,0.3309
200,0.84579,-0.38088,-0.37358
200,-0.84259,0.50306,0.19228
200,-0.88396,-0.44537,-0.14231
200,-0.87466,0.21603,-0.43394
200,-0.86278,-0.15777,0.48033
200,0.27403,0.76812,-0.5787
200,-0.22823,0.94299,0.24223
200,-0.40686,0.81819,-0.40624
200,0.45185,0.88934,0.07007
200,-0.30432,-0.92561,-0.22501
200,0.25841,-0.78249,0.56651
200,0.38614,-0.91799,-0.0905
200,-0.43848,-0.78984,0.42882
200,0.40285,0.08674,-0.91115
200,-0.46029,-0.4265,-0.77861
200,0.22534,-0.60267,-0.76551
200,-0.28396,0.26547,-0.92136
200,0.44539,-0.11315,0.88816
200,-0.38694,0.45409,0.80254
200,0.30832,0.58229,0.75224
200,-0.24922,-0.24586,0.93672
200,0.99903,-0.04141,-0.01491
200,-0.00302,0.56627,-0.82422
200,0.04263,0.8375,0.54476
200,0.02815,0.98316,-0.18058
200,0.68674,-0.17112,-0.70647
200,0.7333,0.12345,0.6686
200,-0.03297,-0.2043,-0.97835
200,0.723,0.67574,-0.14369
200,0.68277,-0.72287,0.10622
400,0.86861,0.34078,-0.35971
400,0.86208,-0.39728,0.31462
400,0.88677,0.32103,0.33254
400,0.84412,-0.37969,-0.37855
400,-0.84346,0.50076,0.19445
400,-0.88419,-0.44313,-0.14781
400,-0.87385,0.21495,-0.43611
400,-0.86075,-0.15792,0.48391
400,0.27748,0.7637,-0.5829
400,-0.22771,0.94272,0.24376
400,-0.40638,0.81693,-0.40925
400,0.45244,0.88872,0.07404
400,-0.30297,-0.92493,-0.22959
400,0.2564,-0.7816,0.56864
400,0.38786,-0.91685,-0.09458
400,-0.43637,-0.78833,0.43372
400,0.4031,0.08474,-0.91122
400,-0.45967,-0.42371,-0.7805
400,0.2264,-0.59807,-0.7688
400,-0.28444,0.26233,-0.92211
400,0.44545,-0.11404,0.88802
400,-0.38767,0.45074,0.80408
400,0.30658,0.5802,0.75457
400,-0.25126,-0.24346,0.9368
400,0.99906,-0.03943,-0.01783
400,-0.00323,0.5621,-0.82706
400,0.04264,0.83546,0.5479
400,0.02799,0.98225,-0.18547
400,0.6859,-0.16768,-0.70812
400,0.73234,0.12011,0.67027
400,-0.03283,-0.19929,-0.97939
400,0.72376,0.67423,-0.14696
400,0.68484,-0.71993,0.11268
600,0.86904,0.33893,-0.3604
600,0.86221,-0.39642,0.31535
600,0.88676,0.31928,0.33424
600,0.84444,-0.37861,-0.37891
600,-0.84383,0.49929,0.19662
600,-0.88491,-0.44136,-0.14876
600,-0.87328,0.21363,-0.43788
600,-0.86065,-0.15498,0.48504
600,0.27706,0.76299,-0.58403
600,-0.22811,0.94199,0.24622
600,-0.4059,0.81569,-0.41219
600,0.45351,0.88805,0.07552
600,-0.30252,-0.9247,-0.23112
600,0.25581,-0.78032,0.57066
600,0.38826,-0.91655,-0.09593
600,-0.43693,-0.78653,0.43642
600,0.40264,0.08382,-0.91151
600,-0.45856,-0.42152,-0.78233
600,0.22708,-0.59701,-0.76943
600,-0.28368,0.26031,-0.92291
600,0.4444,-0.11289,0.88868
600,-0.38738,0.44923,0.80506
600,0.30657,0.57949,0.75512
600,-0.25051,-0.2418,0.93743
600,0.99903,-0.03909,-0.02045
600,-0.00324,0.56208,-0.82708
600,0.04265,0.83477,0.54895
600,0.02788,0.98164,-0.18871
600,0.68501,-0.16664,-0.70922
600,0.73146,0.11914,0.6714
600,-0.03283,-0.19928,-0.97939
600,0.72394,0.67327,-0.15038
600,0.68484,-0.71993,0.11267
800,0.86879,0.33794,-0.36194
800,0.86189,-0.39605,0.31667
800,0.88668,0.31896,0.33477
800,0.84469,-0.37694,-0.38002
800,-0.84377,0.49902,0.19757
800,-0.88485,-0.44121,-0.14959
800,-0.87308,0.21299,-0.43861
800,-0.86003,-0.1553,0.48604
800,0.27658,0.76224,-0.58523
800,-0.22856,0.94179,0.24655
800,-0.40632,0.81458,-0.41396
800,0.45361,0.8879,0.07663
800,-0.30414,-0.92405,-0.23158
800,0.25615,-0.77955,0.57156
800,0.38853,-0.91628,-0.09737
800,-0.43648,-0.78681,0.43636
800,0.40214,0.08345,-0.91176
800,-0.45892,-0.4205,-0.78267
800,0.22644,-0.59656,-0.76996
800,-0.28399,0.26004,-0.92289
800,0.44443,-0.11132,0.88887
800,-0.38746,0.44896,0.80518
800,0.30634,0.57836,0.75608
800,-0.25089,-0.24165,0.93737
800,0.999,-0.03892,-0.02177
800,-0.00329,0.56104,-0.82778
800,0.04265,0.83408,0.54999
800,0.02786,0.98156,-0.18911
800,0.68505,-0.16518,-0.70952
800,0.73143,0.11855,0.67153
800,-0.03283,-0.19927,-0.97939
800,0.72452,0.67268,-0.15028
800,0.6849,-0.7196,0.11439
1000,0.86881,0.3375,-0.3623
1000,0.86223,-0.39551,0.31644
1000,0.88673,0.3183,0.33526
