,mri_sig0,mri_sig1,mri_sig2,mri_sig3,mri_sig4,mri_sig5,mri_sig6,mri_sig7,mri_sig8,mri_sig9,mri_sig10,mri_sig11,mri_sig12,mri_sig13,mri_sig14,mri_sig15,mri_sig16,mri_sig17,mri_sig18,mri_sig19,mri_sig20,mri_sig21,mri_sig22,mri_sig23,mri_sig24,mri_sig25,mri_sig26,mri_sig27,mri_sig28,mri_sig29,mri_sig30,mri_sig31,mri_sig32,mri_sig33,mri_sig34,mri_sig35,mri_sig36,mri_sig37,mri_sig38,mri_sig39,mri_sig40,mri_sig41,mri_sig42,mri_sig43,mri_sig44,mri_sig45,mri_sig46,mri_sig47,mri_sig48,mri_sig49,mri_sig50,mri_sig51,mri_sig52,mri_sig53,mri_sig54,mri_sig55,mri_sig56,mri_sig57,mri_sig58,mri_sig59,mri_sig60,mri_sig61,MD_comp1,FA_comp1,dir_X_comp1,dir_Y_comp1,dir_Z_comp1,weight_comp1,MD_comp2,FA_comp2,dir_X_comp2,dir_Y_comp2,dir_Z_comp2,weight_comp2,MD_comp3,FA_comp3,dir_X_comp3,dir_Y_comp3,dir_Z_comp3,weight_comp3,MD_comp4,FA_comp4,dir_X_comp4,dir_Y_comp4,dir_Z_comp4,weight_comp4,MD_comp5,FA_comp5,dir_X_comp5,dir_Y_comp5,dir_Z_comp5,weight_comp5,MD_comp6,FA_comp6,dir_X_comp6,dir_Y_comp6,dir_Z_comp6,weight_comp6,MD_comp7,FA_comp7,dir_X_comp7,dir_Y_comp7,dir_Z_comp7,weight_comp7,MD_comp8,FA_comp8,dir_X_comp8,dir_Y_comp8,dir_Z_comp8,weight_comp8,MD_comp9,FA_comp9,dir_X_comp9,dir_Y_comp9,dir_Z_comp9,weight_comp9,MD_comp10,FA_comp10,dir_X_comp10,dir_Y_comp10,dir_Z_comp10,weight_comp10,MD_comp11,FA_comp11,dir_X_comp11,dir_Y_comp11,dir_Z_comp11,weight_comp11,MD_comp12,FA_comp12,dir_X_comp12,dir_Y_comp12,dir_Z_comp12,weight_comp12,MD_comp13,FA_comp13,dir_X_comp13,dir_Y_comp13,dir_Z_comp13,weight_comp13,MD_comp14,FA_comp14,dir_X_comp14,dir_Y_comp14,dir_Z_comp14,weight_comp14,MD_comp15,FA_comp15,dir_X_comp15,dir_Y_comp15,dir_Z_comp15,weight_comp15,MD_comp16,FA_comp16,dir_X_comp16,dir_Y_comp16,dir_Z_comp16,weight_comp16,MD_comp17,FA_comp17,dir_X_comp17,dir_Y_comp17,dir_Z_comp17,weight_comp17,MD_comp18,FA_comp18,dir_X_comp18,dir_Y_comp18,dir_Z_comp18,weight_comp18,MD_comp19,FA_comp19,dir_X_comp19,dir_Y_comp19,dir_Z_comp19,weight_comp19,MD_comp20,FA_comp20,dir_X_comp20,dir_Y_comp20,dir_Z_comp20,weight_comp20,n_comp
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8890629540499213,0.885749486127325,0.9088920899732357,0.8828414471434755,0.8949557778708062,0.8842722893874391,0.8253305655562609,0.8007175899153653,0.787393689061817,0.7813774485074056,0.7852332861989849,0.7837575518370634,0.5904206523670978,0.6234006480781036,0.6090305932624613,0.6539479345124798,0.6587991597622452,0.6498607040881749,0.4739831644803491,0.4355199603519621,0.4090914092873455,0.46761870398896194,0.4518230284024618,0.4887838864467751,0.406864545376212,0.23608902344862565,0.30737083431513473,0.27035057138091106,0.32435976946436856,0.2515898104303865,0.2804428029551922,0.33789801455626317,0.27160352104377117,0.17693211749854254,0.16720414774183026,0.19235682022654174,0.15093976679275434,0.2182829622278209,0.17065048374344757,0.16692786082584965,0.23415530283321287,0.1917737503498908,0.14138347880423213,0.0845568590310959,0.1427278293766857,0.09963257734459564,0.07432427925413035,0.10209816601954942,0.10713414028747091,0.08582361133868063,0.131288702860875,0.12155597990220102,0.10004936764779246,0.08156571384307248,0.09944874234947232,0.7724455063230766,0.19508001760345478,0.8553389764202168,-0.5041322927100796,-0.11935605080302641,0.8981065082335221,0.7513241618498195,0.40154234903939695,0.15128685215346183,0.9803881666107127,-0.12629857930785335,0.10189349176647788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8949455540222451,0.8981630271576975,0.918196821295694,0.8902291663579032,0.881804170583063,0.8983004938925844,0.8255239611289453,0.8160615373461444,0.7745353407505638,0.7995968329884668,0.8257995576314947,0.7893534215850672,0.6444777385640895,0.5968864079835167,0.628110502836144,0.6716759124470004,0.6642225856427186,0.6929856502797436,0.5560303909317728,0.4155555358653761,0.45257063396353203,0.5015205586395894,0.4626008609355752,0.4710412849504202,0.45394303745681625,0.30663826942509387,0.38594122180670243,0.2984297152620229,0.2874786479900442,0.2765757742570777,0.314487707224311,0.3797393725814343,0.25621230596982847,0.2338100701953092,0.16694178730543738,0.1656797063709536,0.2282784996031706,0.2967427634284592,0.17811208220177938,0.1672340972469321,0.2428251845483315,0.22471620857832075,0.19192657154026463,0.10229806045197368,0.18198810254877712,0.10016391414462184,0.1253534611926466,0.172586155650546,0.1436771173005098,0.09511218492705875,0.1794707566938932,0.11454587212900476,0.07771512829053126,0.14356998233773144,0.10648686910104174,0.7846747629756531,0.20274767711225666,0.09015015460371074,-0.9780088923738067,0.18807327312163924,0.7573091346323988,0.5440238754885288,0.5770358057390668,0.7975839554544185,0.3431650053910161,-0.49608226442462944,0.2426908653676012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.887228795584041,0.8795124081530442,0.8793625551668958,0.8908610726311829,0.8854547223034579,0.8977622324918655,0.7810064284584011,0.7737268042096661,0.7815794078026841,0.799180147218792,0.7878542787053442,0.8056066905240016,0.6420643752996253,0.6145704666925456,0.6501635407854185,0.6330198651426332,0.6192941397794394,0.595870089802511,0.4253431939567179,0.43803780941591886,0.44464742424513415,0.43359090661715627,0.45595068914935405,0.4471035706127972,0.49795516149864305,0.34448997485864286,0.2859317367648757,0.32298393928125624,0.2855910290836956,0.30166072168460806,0.2593744060705505,0.27469409296151726,0.3047164914930136,0.21266632246156603,0.21196543212979588,0.19799098352296735,0.19911883226076027,0.16520848529451834,0.2067464264119304,0.17275513271749002,0.18579128453773136,0.20503591743597807,0.2568453645461946,0.17175090525010187,0.10811514859289617,0.11137943911239354,0.16049589999108482,0.10248891910644282,0.14288179958633007,0.1115743322814095,0.102175782077729,0.12348469008238659,0.11670275833610476,0.1482929142354198,0.13787370225173506,1.0962330562000244,0.09643045633060923,0.13130492785252088,-0.9247411632025718,-0.3572293339024648,0.5103149328844162,0.5076067422952555,0.23648890218083732,0.14280204675934183,-0.07662214422572594,0.9867809394468434,0.4896850671155838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9432425484335208,0.9707112398891872,0.8878893261504841,0.910724953926029,0.9023541411233327,0.9290486680433556,0.7609236815011587,0.9055441809036373,0.8619720931506509,0.8299761785927277,0.905639845452085,0.8678448360117823,0.81798737507391,0.7747763464052837,0.7856639223660362,0.6474793217952879,0.5965212046882402,0.8069722046757577,0.6072012559182395,0.733076173461202,0.747744960575842,0.5778198107759676,0.4589562264106031,0.42002624496139185,0.6403797549670317,0.5241111263000501,0.3912717332428106,0.43312046729131304,0.2579802931957591,0.4979615379515294,0.7185237571936038,0.28449777592612013,0.5172312303377021,0.29175970244276006,0.5268063470318594,0.21247281137257645,0.5772487051124077,0.30817507579485676,0.28193668423894447,0.6466552177991386,0.17715094682290955,0.23349732755007796,0.3463424046026194,0.27607480948875984,0.12428634034935604,0.5505343537058145,0.28887899454408733,0.42445212579609193,0.12597611552855215,0.44058630160341633,0.16988682175025718,0.13564556996524446,0.22307869264392177,0.3125605821244609,0.1730203768556812,0.5399659405107938,0.7777086474142372,0.2970424234780412,0.8147983316576862,0.4978649188104574,0.7881790663822645,0.501253643821973,0.7950389120619739,0.8289752971589196,0.16235127246411196,-0.5352027849605836,0.21182093361773546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9785177688651091,0.9664690139699557,0.9742933947459799,0.9625613051500349,0.9631256870577162,0.9844781241891774,0.9450893188345526,0.9513773651914953,0.9163975160073454,0.9406839906511858,0.9526554586129545,0.9682563470996561,0.8821718997717455,0.8619748043891639,0.9360797174025005,0.9305130949373899,0.8702848958654222,0.905499669599781,0.8653168978954188,0.8331066770210693,0.7650255352922788,0.865839805418898,0.7639946665280856,0.8507727477745239,0.8988231087431597,0.7935754397566582,0.8344517059864498,0.823292320898259,0.7159514069503748,0.6316546901134557,0.7447295719900566,0.771936812982386,0.8296712375333151,0.8240027683315966,0.8287183706014829,0.7413225857650008,0.6374525432687751,0.7537290372934892,0.5403034735557161,0.6475982261439527,0.6669325184574383,0.745247442102882,0.7019198681072295,0.7586503100609091,0.7292346690367556,0.7201114837302669,0.4935872282234049,0.6269052199538417,0.6057060157822146,0.4856643714212134,0.7097222016530907,0.5050547332353726,0.6272434616064752,0.7047765825743503,0.8133513055463675,0.7243293457653802,0.2889460058187056,0.21629784413749834,0.8537177729293087,0.473688934646031,0.14402127779930474,0.10579306155063802,0.8060158092220812,0.11003231245091422,-0.9617401497729687,0.250895943632758,0.8559787222006953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9133941453117694,0.9139487884413575,0.9433832161290521,0.89556975222791,0.9004067468382008,0.9119541177238587,0.8704812606513403,0.858224020512922,0.7977115383871769,0.8133243370576796,0.8534918846897679,0.8184335400788887,0.6697256330581027,0.6461601141555589,0.6664827964116353,0.7439665798168498,0.7176029665702792,0.7667369868464026,0.6689587999232294,0.49590242255443584,0.4882215778210304,0.5841243474526772,0.5184619433491859,0.5677856177464313,0.4986463844559471,0.3771398264565324,0.5410197510125094,0.3498455723839495,0.37706738752106933,0.31093735257116023,0.4047001536405091,0.5075649288942318,0.32940701093279057,0.36756491177494854,0.22871393478774016,0.23613707451533417,0.2942951194978273,0.44813771386033474,0.22151088456231247,0.23866175494324338,0.38413717780517664,0.29869885667457746,0.25674757751852245,0.1405960241206129,0.3890646708616314,0.18055474481157324,0.18266565700187712,0.26106500241508074,0.22846054643084063,0.12018629875260056,0.29391741090133,0.1832002648311069,0.12537790274756574,0.2676326103577987,0.16895864901881724,0.7434849442793361,0.4234140543546837,0.5020876590159407,-0.8647581145242832,0.010069062930547263,0.5742101117962487,0.4284160983046105,0.7614851939982049,0.5971783594294723,0.4624137459979204,-0.655401811518167,0.4257898882037513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.921583368191076,0.9463005969596894,0.9330113098110947,0.9417237432615029,0.9502042687698469,0.9315275314874839,0.8831698880220626,0.8604941025463149,0.9127201702287994,0.8681748172152184,0.8852034012847642,0.8623260308555966,0.7980863027257231,0.8174082324445177,0.7229730415887932,0.772589035430413,0.7773692400051357,0.755310998385569,0.631967410762217,0.6472247201199132,0.7084143430137222,0.5680946096740745,0.6777324207547419,0.66004845288253,0.6023748469958817,0.5033476899771718,0.4968697243686636,0.4162714135026504,0.5567317205016755,0.5988754874349107,0.5053602601901965,0.46209007683904696,0.46872071869648946,0.388771286333386,0.31101087176728026,0.4066156818433433,0.44094424036405055,0.3494620513930687,0.495646103698231,0.44665442971605374,0.4179692422026208,0.3154279270317073,0.38967053622068176,0.23092693686864932,0.2924260834379739,0.2363724819394632,0.36425535409163035,0.2878648771261267,0.2703170877267907,0.3975702470598974,0.22030381910619432,0.36932874649497965,0.3228510253534289,0.3057254961838772,0.26636584910624655,0.5954625871956692,0.6806514206635987,0.7788525131252565,-0.5655827217984782,-0.2711179588324933,0.18414431287296684,0.39622034528076133,0.33235280006383255,0.49393931674484864,0.05518086142955745,-0.8677436395073859,0.8158556871270332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9136754341513222,0.912974518693473,0.9474723127286862,0.8634603522029998,0.8887016395434928,0.9270221464931969,0.8680486798717093,0.8661215278244918,0.758857051496299,0.7665827933913975,0.8711087787692738,0.8446005054467512,0.623845291954295,0.6153505526699911,0.6878001550829225,0.7987134696018593,0.6311411466311998,0.7956836064771243,0.737448382205468,0.5125414567528035,0.4263427874401684,0.5882041419030084,0.37415934582654276,0.5909487272749095,0.519981566002176,0.31320933006500634,0.6152454187842697,0.34827495266981506,0.31816306481574963,0.20711884734076594,0.42381339139553914,0.4269920709360306,0.4309864186275958,0.43146569271329394,0.37673100578125274,0.297973389663289,0.24864212163420163,0.5055752844606586,0.10945573503913567,0.23062758699501196,0.24935966806909196,0.25743812314684517,0.15139417722424645,0.15747757107960597,0.3837964301096908,0.2784682659394669,0.058854824818972855,0.2964423527828572,0.09715074348034082,0.08940650468188804,0.3174204411503935,0.07800804384505396,0.15583873633394185,0.20711132416145767,0.3237776563009111,0.5091100636421044,0.7916334230199489,0.24272259198775137,-0.9588089542121253,0.14755044107490256,0.4753385144395126,0.7561210172720139,0.5160417401502844,0.7972708637774136,-0.18240870193007222,-0.5754009343334463,0.5246614855604874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8951435840979054,0.8919556243056614,0.9196215765414333,0.9276197598822955,0.9212908272884518,0.8946171508925376,0.8629166572430843,0.7978791664341824,0.8425796010044101,0.8496959249708345,0.7969338653645162,0.7989176261919351,0.6652350114753434,0.6769397198478309,0.6439942193132621,0.6803113133266362,0.778675634398315,0.6411591905252862,0.4718785027522825,0.4563833058179888,0.49224407398313497,0.5077355426079979,0.6435639600903733,0.5608735180544666,0.4643887278668424,0.3119070796803477,0.3175686538713094,0.3514299058351927,0.4639037184658642,0.39114785421551973,0.2818208007758381,0.4370115501900457,0.29674587072323194,0.19719038071385506,0.1831279364102371,0.25103559627888544,0.19266971566540664,0.22357958127648953,0.3441575065722535,0.18476352124612894,0.381238253477844,0.2874404499511084,0.24358740710766705,0.13291488714703498,0.17156938665981264,0.10630181293946656,0.17915340876871333,0.10614171073602369,0.24485884091229107,0.12715675146846192,0.1640948507387499,0.28958269122304076,0.13848713444958055,0.10816544300104111,0.12148840911098575,0.7157930426501378,0.4489954685811785,0.25854079900473753,0.16845975447668793,-0.951198174079222,0.3973788474187585,0.596823188709949,0.2858819250397616,0.9914599468501137,0.13038901688517493,0.002424472661694327,0.6026211525812415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9321725605753491,0.9127290582019492,0.9402308069385535,0.9155854754222058,0.9404349592966622,0.9229663775914584,0.8939358473634653,0.8661943165769563,0.8563884287820132,0.8454736148801592,0.8295622404935834,0.8708390317691072,0.6663151514184518,0.7539229976723448,0.7415966945069729,0.7758960638432492,0.7690740951241651,0.7379769814916298,0.5779728938216078,0.6234064234058325,0.5081678754726293,0.6199483795872377,0.5910890597708076,0.6787227710305415,0.550616974720549,0.3472114194819405,0.439823150899892,0.43538548132864374,0.5377746613862641,0.3699055617842535,0.41479732460700525,0.5050810751866899,0.49865348733930925,0.3146615669302192,0.3562427306144773,0.42821735206829603,0.22979069376133557,0.34316023814640223,0.3045523857574547,0.3166441494131542,0.41902051880273145,0.35396143080994624,0.2453270344188419,0.1903715858147717,0.2927729624933896,0.24763903295380443,0.14437450753463515,0.1784876237685778,0.23865426499668413,0.18414701776587805,0.26506775227155827,0.2784793872839531,0.29677472121810466,0.15792532445430335,0.2730025053019054,0.4954222107047365,0.3099159212399314,0.6462706120306543,-0.7042169240215449,0.2939605754980714,0.937406376518227,0.6214815614084278,0.5848449731082128,0.4337797752340602,-0.6626617122590387,0.6105035312787367,0.062593623481773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
